Year,Brand Name,Generic Name,Manufacturer,Indication,Coverage Type,Total Spending,Beneficiary Count,Unit Count,Beneficiary Cost Share,Total Annual Spending Per User,Average Cost Per Unit,Average Annual Beneficiary Cost Share,Claim Count,Beneficiary Count LIS,Beneficiary Count No LIS,Beneficiary Cost Share LIS,Beneficiary Cost Share No LIS,Average Beneficiary Cost Share LIS,Average Beneficiary Cost Share No LIS
2010,Abilify,Aripiprazole,Otsuka America,Mental Health,Part D,"$1,225,884,700.75","338,626","71,848,190","$38,186,677.97","$3,620.17",$17.06,*,"2,296,081","287,370","51,256","$6,931,345.55","$31,255,332.42",$24.12,$609.79
2011,Abilify,Aripiprazole,Otsuka America,Mental Health,Part D,"$1,469,590,338.46","360,670","77,471,756","$33,752,894.08","$4,074.61",$18.97,*,"2,447,867","303,264","57,406","$7,000,137.54","$26,752,756.54",$23.08,$466.03
2012,Abilify,Aripiprazole,Otsuka America,Mental Health,Part D,"$1,758,054,142.51","376,601","82,161,700","$39,700,089.43","$4,668.21",$21.40,*,"2,572,017","310,592","66,009","$6,594,393.26","$33,105,696.17",$21.23,$501.53
2013,Abilify,Aripiprazole,Otsuka America,Mental Health,Part D,"$2,107,091,535.20","396,764","86,150,300","$46,564,692.85","$5,310.69",$24.46,*,"2,886,837","317,698","79,066","$6,872,985.09","$39,691,707.76",$21.63,$502.01
2014,Abilify,Aripiprazole,Otsuka America,Mental Health,Part D,"$2,527,319,031.60","405,161","88,198,691","$49,598,419.68","$6,237.83",$28.65,*,"2,964,075","326,791","78,369","$6,334,112.63","$43,264,307.05",$19.38,$552.06
2010,Abraxane,Paclitaxel Protein-Bound,Celgene,Chemotherapy,Part B,"$115,553,924.85","6,811","12,379,531","$22,795,393.66","$16,965.78",$9.33,"$3,346.85","54,260",n/a,n/a,n/a,n/a,n/a,n/a
2011,Abraxane,Paclitaxel Protein-Bound,Celgene,Chemotherapy,Part B,"$121,389,108.26","7,660","12,919,123","$24,065,171.49","$15,847.14",$9.40,"$3,141.67","55,813",n/a,n/a,n/a,n/a,n/a,n/a
2012,Abraxane,Paclitaxel Protein-Bound,Celgene,Chemotherapy,Part B,"$134,128,475.67","8,392","14,085,125","$26,648,986.33","$15,982.90",$9.52,"$3,175.52","60,473",n/a,n/a,n/a,n/a,n/a,n/a
2013,Abraxane,Paclitaxel Protein-Bound,Celgene,Chemotherapy,Part B,"$213,007,581.42","14,091","22,660,310","$42,963,406.52","$15,116.57",$9.40,"$3,049.00","97,001",n/a,n/a,n/a,n/a,n/a,n/a
2014,Abraxane,Paclitaxel Protein-Bound,Celgene,Chemotherapy,Part B,"$276,345,661.22","17,733","29,216,874","$55,960,035.18","$15,583.69",$9.46,"$3,155.70","124,144",n/a,n/a,n/a,n/a,n/a,n/a
2010,Activase; Cathflo Activase,Alteplase,"Genentech, Inc.",Tissue Plasminogen Activator,Part B,"$46,674,175.64","83,767","1,237,941","$9,187,747.76",$557.19,$37.70,$109.68,"158,941",n/a,n/a,n/a,n/a,n/a,n/a
2011,Activase; Cathflo Activase,Alteplase,"Genentech, Inc.",Tissue Plasminogen Activator,Part B,"$20,666,323.55","49,739","519,346","$4,004,426.16",$415.50,$39.79,$80.51,"77,025",n/a,n/a,n/a,n/a,n/a,n/a
2012,Activase; Cathflo Activase,Alteplase,"Genentech, Inc.",Tissue Plasminogen Activator,Part B,"$25,001,727.44","53,227","556,287","$4,820,331.01",$469.72,$44.94,$90.56,"81,928",n/a,n/a,n/a,n/a,n/a,n/a
2013,Activase; Cathflo Activase,Alteplase,"Genentech, Inc.",Tissue Plasminogen Activator,Part B,"$31,015,388.75","54,041","591,927","$5,933,020.73",$573.92,$52.40,$109.79,"81,040",n/a,n/a,n/a,n/a,n/a,n/a
2014,Activase; Cathflo Activase,Alteplase,"Genentech, Inc.",Tissue Plasminogen Activator,Part B,"$38,263,515.60","56,521","631,241","$7,062,091.26",$676.98,$60.62,$124.95,"85,617",n/a,n/a,n/a,n/a,n/a,n/a
2010,Advair Diskus,Fluticasone/Salmeterol,GlaxoSmithKline,Asthma,Part D,"$1,517,126,748.93","1,402,356","423,148,377","$190,818,149.57","$1,081.84",$3.59,*,"6,112,564","745,678","656,678","$15,631,281.70","$175,186,867.87",$20.96,$266.78
2011,Advair Diskus,Fluticasone/Salmeterol,GlaxoSmithKline,Asthma,Part D,"$1,664,850,499.63","1,402,391","436,743,044","$167,710,436.38","$1,187.15",$3.81,*,"6,168,093","737,603","664,788","$15,136,984.62","$152,573,451.76",$20.52,$229.51
2012,Advair Diskus,Fluticasone/Salmeterol,GlaxoSmithKline,Asthma,Part D,"$1,886,310,742.46","1,424,306","452,555,226","$185,236,366.03","$1,324.37",$4.17,*,"6,288,977","736,590","687,716","$14,274,536.91","$170,961,829.12",$19.38,$248.59
2013,Advair Diskus,Fluticasone/Salmeterol,GlaxoSmithKline,Asthma,Part D,"$2,262,995,220.95","1,527,217","492,962,520","$215,089,558.15","$1,481.78",$4.59,*,"6,605,423","734,070","793,147","$14,686,313.18","$200,403,244.97",$20.01,$252.67
2014,Advair Diskus,Fluticasone/Salmeterol,GlaxoSmithKline,Asthma,Part D,"$2,276,374,748.70","1,420,748","460,372,139","$211,936,509.12","$1,602.24",$4.94,*,"6,094,244","668,600","752,148","$12,718,030.25","$199,218,478.87",$19.02,$264.87
2010,Alimta,Pemetrexed Disodium,Eli Lilly & Co.,Chemotherapy,Part B,"$419,754,402.91","21,241","8,283,988","$80,795,227.63","$19,761.52",$50.67,"$3,803.74","88,090",n/a,n/a,n/a,n/a,n/a,n/a
2011,Alimta,Pemetrexed Disodium,Eli Lilly & Co.,Chemotherapy,Part B,"$453,320,721.88","21,868","8,600,055","$86,944,312.17","$20,729.87",$52.71,"$3,975.87","92,152",n/a,n/a,n/a,n/a,n/a,n/a
2012,Alimta,Pemetrexed Disodium,Eli Lilly & Co.,Chemotherapy,Part B,"$507,965,516.04","22,581","9,210,514","$96,588,675.35","$22,495.26",$55.15,"$4,277.43","97,733",n/a,n/a,n/a,n/a,n/a,n/a
2013,Alimta,Pemetrexed Disodium,Eli Lilly & Co.,Chemotherapy,Part B,"$548,196,950.33","22,968","9,457,534","$104,050,477.00","$23,867.86",$57.96,"$4,530.24","100,345",n/a,n/a,n/a,n/a,n/a,n/a
2014,Alimta,Pemetrexed Disodium,Eli Lilly & Co.,Chemotherapy,Part B,"$559,204,732.70","22,993","9,462,662","$106,180,684.54","$24,320.65",$59.10,"$4,617.96","100,741",n/a,n/a,n/a,n/a,n/a,n/a
2010,Aranesp,Darbepoetin Alfa In Albumn Sol; Darbepoetin Alfa In Polysorbat,Amgen,Anemia,Part B,"$473,515,122.62","133,626","164,376,683","$96,531,332.37","$3,543.59",$2.88,$722.40,"782,384",n/a,n/a,n/a,n/a,n/a,n/a
2011,Aranesp,Darbepoetin Alfa In Albumn Sol; Darbepoetin Alfa In Polysorbat,Amgen,Anemia,Part B,"$410,372,191.78","108,407","134,253,475","$83,782,718.36","$3,785.48",$3.06,$772.85,"639,062",n/a,n/a,n/a,n/a,n/a,n/a
2012,Aranesp,Darbepoetin Alfa In Albumn Sol; Darbepoetin Alfa In Polysorbat,Amgen,Anemia,Part B,"$327,865,624.05","85,291","100,921,281","$66,395,768.87","$3,844.08",$3.25,$778.46,"473,175",n/a,n/a,n/a,n/a,n/a,n/a
2013,Aranesp,Darbepoetin Alfa In Albumn Sol; Darbepoetin Alfa In Polysorbat,Amgen,Anemia,Part B,"$289,701,941.62","70,102","84,972,181","$59,387,636.11","$4,132.58",$3.41,$847.16,"391,498",n/a,n/a,n/a,n/a,n/a,n/a
2014,Aranesp,Darbepoetin Alfa In Albumn Sol; Darbepoetin Alfa In Polysorbat,Amgen,Anemia,Part B,"$286,631,627.79","63,252","78,439,196","$58,890,146.84","$4,531.58",$3.65,$931.04,"350,311",n/a,n/a,n/a,n/a,n/a,n/a
2010,Atripla,Efavirenz/Emtricitab/Tenofovir,BMS/Gilead,HIV,Part D,"$318,330,108.88","23,982","6,072,415","$9,802,051.13","$13,273.71",$52.42,*,"195,108","20,715","3,267","$1,020,125.97","$8,781,925.16",$49.25,"$2,688.07"
2011,Atripla,Efavirenz/Emtricitab/Tenofovir,BMS/Gilead,HIV,Part D,"$391,444,042.35","26,665","7,067,292","$7,801,997.22","$14,680.07",$55.39,*,"225,063","22,706","3,959","$971,010.06","$6,830,987.16",$42.76,"$1,725.43"
2012,Atripla,Efavirenz/Emtricitab/Tenofovir,BMS/Gilead,HIV,Part D,"$467,062,762.12","28,616","7,813,517","$7,922,089.80","$16,321.73",$59.78,*,"247,169","23,934","4,682","$934,058.33","$6,988,031.47",$39.03,"$1,492.53"
2013,Atripla,Efavirenz/Emtricitab/Tenofovir,BMS/Gilead,HIV,Part D,"$529,149,208.07","29,585","8,285,588","$9,017,164.97","$17,885.73",$63.86,*,"264,284","24,041","5,544","$974,581.72","$8,042,583.25",$40.54,"$1,450.68"
2014,Atripla,Efavirenz/Emtricitab/Tenofovir,BMS/Gilead,HIV,Part D,"$577,030,155.94","29,484","8,400,201","$9,441,611.05","$19,570.96",$68.69,*,"264,074","23,517","5,967","$950,099.62","$8,491,511.43",$40.40,"$1,423.08"
2010,Avastin,Bevacizumab,"Genentech, Inc.",Chemotherapy,Part B,"$1,082,661,401.78","161,700","18,840,487","$207,422,719.35","$6,695.49",$57.46,"$1,282.76","682,482",n/a,n/a,n/a,n/a,n/a,n/a
2011,Avastin,Bevacizumab,"Genentech, Inc.",Chemotherapy,Part B,"$991,560,850.50","174,098","16,483,187","$188,037,623.42","$5,695.42",$60.16,"$1,080.07","739,600",n/a,n/a,n/a,n/a,n/a,n/a
2012,Avastin,Bevacizumab,"Genentech, Inc.",Chemotherapy,Part B,"$1,001,202,913.70","182,292","16,392,600","$188,001,468.28","$5,492.30",$61.08,"$1,031.32","769,567",n/a,n/a,n/a,n/a,n/a,n/a
2013,Avastin,Bevacizumab,"Genentech, Inc.",Chemotherapy,Part B,"$1,035,465,712.43","187,540","16,397,631","$196,101,906.90","$5,521.31",$63.15,"$1,045.65","774,012",n/a,n/a,n/a,n/a,n/a,n/a
2014,Avastin,Bevacizumab,"Genentech, Inc.",Chemotherapy,Part B,"$1,063,835,621.50","216,357","16,421,928","$201,495,178.87","$4,917.04",$64.78,$931.31,"885,129",n/a,n/a,n/a,n/a,n/a,n/a
2010,Azacitidine; Vidaza,Azacitidine,Multiple Manufacturers,Chemotherapy,Part B,"$170,448,196.87","7,793","34,261,313","$34,140,499.17","$21,871.96",$4.97,"$4,380.92","165,372",n/a,n/a,n/a,n/a,n/a,n/a
2011,Azacitidine; Vidaza,Azacitidine,Multiple Manufacturers,Chemotherapy,Part B,"$194,879,085.09","8,245","37,492,185","$39,032,141.24","$23,636.03",$5.20,"$4,734.04","179,620",n/a,n/a,n/a,n/a,n/a,n/a
2012,Azacitidine; Vidaza,Azacitidine,Multiple Manufacturers,Chemotherapy,Part B,"$208,108,143.30","8,441","38,922,167","$41,662,142.45","$24,654.44",$5.35,"$4,935.69","182,010",n/a,n/a,n/a,n/a,n/a,n/a
2013,Azacitidine; Vidaza,Azacitidine,Multiple Manufacturers,Chemotherapy,Part B,"$226,683,280.37","8,641","40,378,979","$45,944,671.53","$26,233.45",$5.61,"$5,317.05","185,426",n/a,n/a,n/a,n/a,n/a,n/a
2014,Azacitidine; Vidaza,Azacitidine,Multiple Manufacturers,Chemotherapy,Part B,"$194,446,522.59","8,821","41,906,803","$39,577,789.73","$22,043.59",$4.64,"$4,486.77","188,122",n/a,n/a,n/a,n/a,n/a,n/a
2010,Brovana,Arformoterol Tartrate,Sunovion Pharma,Chronic Obstructive Pulmonary Disease,Part B,"$76,289,907.77","47,954","14,880,568","$16,114,182.97","$1,590.90",$5.13,$336.03,"248,183",n/a,n/a,n/a,n/a,n/a,n/a
2011,Brovana,Arformoterol Tartrate,Sunovion Pharma,,Part B,"$94,000,101.66","56,096","17,531,898","$19,786,130.95","$1,675.70",$5.36,$352.72,"298,228",n/a,n/a,n/a,n/a,n/a,n/a
2012,Brovana,Arformoterol Tartrate,Sunovion Pharma,,Part B,"$110,767,212.19","63,900","21,077,282","$23,253,060.16","$1,733.45",$5.26,$363.90,"358,855",n/a,n/a,n/a,n/a,n/a,n/a
2013,Brovana,Arformoterol Tartrate,Sunovion Pharma,,Part B,"$120,778,636.90","65,358","22,642,274","$25,508,997.34","$1,847.95",$5.33,$390.30,"385,161",n/a,n/a,n/a,n/a,n/a,n/a
2014,Brovana,Arformoterol Tartrate,Sunovion Pharma,,Part B,"$148,844,291.83","68,086","24,183,512","$31,735,714.83","$2,186.12",$6.15,$466.11,"409,675",n/a,n/a,n/a,n/a,n/a,n/a
2010,Capecitabine; Xeloda,Capecitabine,Multiple Manufacturers,Chemotherapy,Part B,"$159,119,704.36","24,813","7,412,837","$32,080,326.23","$6,412.76",$21.47,"$1,292.88","99,284",n/a,n/a,n/a,n/a,n/a,n/a
2011,Capecitabine; Xeloda,Capecitabine,Multiple Manufacturers,,Part B,"$197,738,868.68","27,063","8,360,880","$39,858,133.45","$7,306.61",$23.65,"$1,472.79","110,836",n/a,n/a,n/a,n/a,n/a,n/a
2012,Capecitabine; Xeloda,Capecitabine,Multiple Manufacturers,,Part B,"$227,628,514.68","26,913","8,585,174","$45,829,437.39","$8,457.94",$26.51,"$1,702.87","113,376",n/a,n/a,n/a,n/a,n/a,n/a
2013,Capecitabine; Xeloda,Capecitabine,Multiple Manufacturers,,Part B,"$255,769,558.78","26,232","8,427,784","$52,100,736.56","$9,750.29",$30.35,"$1,986.15","111,021",n/a,n/a,n/a,n/a,n/a,n/a
2014,Capecitabine; Xeloda,Capecitabine,Multiple Manufacturers,,Part B,"$274,454,628.60","27,052","8,737,998","$56,050,968.50","$10,145.45",$31.41,"$2,071.97","114,953",n/a,n/a,n/a,n/a,n/a,n/a
2010,Captopril,Captopril,Multiple Manufacturers,Cardiovascular,Part D,"$6,078,264.44","128,259","68,261,691","$2,213,761.44",$47.39,$0.09,*,"807,252","47,773","80,486","$355,082.51","$1,858,678.93",$7.43,$23.09
2011,Captopril,Captopril,Multiple Manufacturers,,Part D,"$5,142,139.89","112,875","60,529,651","$1,837,602.67",$45.56,$0.08,*,"689,501","41,445","71,430","$308,008.24","$1,529,594.43",$7.43,$21.41
2012,Captopril,Captopril,Multiple Manufacturers,,Part D,"$4,760,534.71","100,821","54,329,723","$1,606,664.81",$47.22,$0.09,*,"597,205","35,918","64,903","$235,041.53","$1,371,623.28",$6.54,$21.13
2013,Captopril,Captopril,Multiple Manufacturers,,Part D,"$9,897,303.92","93,541","51,026,954","$1,797,798.43",$105.81,$0.19,*,"535,658","31,389","62,152","$206,867.14","$1,590,931.29",$6.59,$25.60
2014,Captopril,Captopril,Multiple Manufacturers,,Part D,"$37,263,265.91","82,827","44,776,539","$2,869,016.64",$449.89,$0.83,*,"458,345","27,536","55,291","$209,089.76","$2,659,926.88",$7.59,$48.11
2010,Clobetasol Propionate,Clobetasol Propionate,Multiple Manufacturers,Inflammation,Part D,"$30,486,488.87","533,223","60,339,763","$5,725,155.89",$57.17,$0.51,*,"1,058,357","173,213","360,010","$495,675.10","$5,229,480.79",$2.86,$14.53
2011,Clobetasol Propionate,Clobetasol Propionate,Multiple Manufacturers,,Part D,"$34,179,667.13","617,494","70,106,157","$7,121,173.31",$55.35,$0.49,*,"1,220,897","196,951","420,543","$584,596.30","$6,536,577.01",$2.97,$15.54
2012,Clobetasol Propionate,Clobetasol Propionate,Multiple Manufacturers,,Part D,"$52,608,801.68","733,820","83,758,728","$9,378,773.38",$71.69,$0.63,*,"1,458,856","223,922","509,898","$627,766.55","$8,751,006.83",$2.80,$17.16
2013,Clobetasol Propionate,Clobetasol Propionate,Multiple Manufacturers,,Part D,"$66,093,381.52","901,571","102,956,251","$11,756,927.98",$73.31,$0.64,*,"1,782,971","252,342","649,229","$715,038.56","$11,041,889.42",$2.83,$17.01
2014,Clobetasol Propionate,Clobetasol Propionate,Multiple Manufacturers,,Part D,"$167,415,145.68","998,143","111,203,886","$17,805,093.26",$167.73,$1.51,*,"1,954,141","276,155","721,988","$861,483.92","$16,943,609.34",$3.12,$23.47
2010,Clomipramine Hcl,Clomipramine HCL,Multiple Manufacturers,Mental Health,Part D,"$3,270,307.44","16,223","9,893,239","$375,288.20",$201.58,$0.33,*,"130,220","11,421","4,802","$99,463.24","$275,824.96",$8.71,$57.44
2011,Clomipramine Hcl,Clomipramine HCL,Multiple Manufacturers,,Part D,"$3,351,112.07","16,906","10,221,515","$385,473.14",$198.22,$0.33,*,"133,707","11,750","5,156","$104,406.68","$281,066.46",$8.89,$54.51
2012,Clomipramine Hcl,Clomipramine HCL,Multiple Manufacturers,,Part D,"$4,214,074.36","17,662","10,620,615","$417,480.18",$238.60,$0.40,*,"138,409","11,926","5,736","$83,976.80","$333,503.38",$7.04,$58.14
2013,Clomipramine Hcl,Clomipramine HCL,Multiple Manufacturers,,Part D,"$42,219,895.53","18,726","10,734,827","$1,249,266.40","$2,254.61",$3.93,*,"142,166","12,231","6,495","$115,064.44","$1,134,201.96",$9.41,$174.63
2014,Clomipramine Hcl,Clomipramine HCL,Multiple Manufacturers,,Part D,"$79,334,397.90","17,991","9,892,402","$2,277,563.80","$4,409.67",$8.02,*,"135,792","11,939","6,052","$155,361.60","$2,122,202.20",$13.01,$350.66
2010,Copaxone,Glatiramer Acetate,Teva Neuroscience,Multiple Sclerosis,Part D,"$539,431,248.38","20,732","180,294","$34,307,225.81","$26,019.26","$2,991.95",*,"170,077","13,384","7,348","$1,452,682.38","$32,854,543.43",$108.54,"$4,471.22"
2011,Copaxone,Glatiramer Acetate,Teva Neuroscience,,Part D,"$707,725,488.16","22,730","198,162","$29,469,278.14","$31,136.19","$3,571.45",*,"188,801","14,315","8,415","$1,549,507.90","$27,919,770.24",$108.24,"$3,317.86"
2012,Copaxone,Glatiramer Acetate,Teva Neuroscience,,Part D,"$911,468,903.08","25,119","219,621","$37,139,562.18","$36,286.03","$4,150.19",*,"208,429","14,914","10,205","$1,441,856.29","$35,697,705.89",$96.68,"$3,498.06"
2013,Copaxone,Glatiramer Acetate,Teva Neuroscience,,Part D,"$1,120,491,044.47","27,424","237,828","$44,745,979.03","$40,858.05","$4,711.35",*,"224,167","14,691","12,733","$1,387,658.85","$43,358,320.18",$94.46,"$3,405.19"
2014,Copaxone,Glatiramer Acetate,Teva Neuroscience,,Part D,"$1,221,108,238.27","26,851","2,098,371","$46,550,783.63","$45,477.20",$581.93,*,"226,053","13,889","12,962","$1,364,973.96","$45,185,809.67",$98.28,"$3,486.02"
2010,Crestor,Rosuvastatin Calcium,Astrazeneca,Cardiovascular,Part D,"$1,095,642,475.30","1,304,004","273,737,394","$234,501,376.88",$840.21,$4.00,*,"7,020,059","525,720","778,284","$15,061,248.47","$219,440,128.41",$28.65,$281.95
2011,Crestor,Rosuvastatin Calcium,Astrazeneca,,Part D,"$1,416,308,475.75","1,496,093","318,713,195","$252,626,448.32",$946.67,$4.44,*,"7,826,825","601,499","894,594","$15,449,270.92","$237,177,177.40",$25.68,$265.12
2012,Crestor,Rosuvastatin Calcium,Astrazeneca,,Part D,"$1,789,822,134.97","1,598,181","361,025,786","$286,693,327.01","$1,119.91",$4.96,*,"8,624,570","626,244","971,937","$15,743,573.50","$270,949,753.51",$25.14,$278.77
2013,Crestor,Rosuvastatin Calcium,Astrazeneca,,Part D,"$2,216,193,162.02","1,732,787","401,733,323","$347,673,799.55","$1,278.98",$5.52,*,"9,066,409","615,437","1,117,350","$16,207,465.22","$331,466,334.33",$26.33,$296.65
2014,Crestor,Rosuvastatin Calcium,Astrazeneca,,Part D,"$2,543,786,425.72","1,752,704","419,224,451","$370,196,109.42","$1,451.35",$6.07,*,"9,073,952","602,684","1,150,020","$15,148,645.58","$355,047,463.84",$25.14,$308.73
2010,Cubicin,Daptomycin,Cubist Pharmace,Antibiotic,Part B,"$50,076,782.31","15,070","116,742,317","$10,035,603.28","$3,322.95",$0.43,$665.93,"111,103",n/a,n/a,n/a,n/a,n/a,n/a
2011,Cubicin,Daptomycin,Cubist Pharmace,,Part B,"$55,564,488.29","14,842","118,933,626","$11,128,348.27","$3,743.73",$0.47,$749.79,"116,680",n/a,n/a,n/a,n/a,n/a,n/a
2012,Cubicin,Daptomycin,Cubist Pharmace,,Part B,"$71,449,685.82","16,137","137,945,568","$14,305,914.43","$4,427.69",$0.52,$886.53,"134,128",n/a,n/a,n/a,n/a,n/a,n/a
2013,Cubicin,Daptomycin,Cubist Pharmace,,Part B,"$80,129,721.34","16,391","138,225,065","$16,243,208.68","$4,888.64",$0.58,$990.98,"130,881",n/a,n/a,n/a,n/a,n/a,n/a
2014,Cubicin,Daptomycin,Cubist Pharmace,,Part B,"$91,580,070.34","15,926","142,106,378","$18,617,769.77","$5,750.35",$0.64,"$1,169.02","127,456",n/a,n/a,n/a,n/a,n/a,n/a
2010,Cyanocobalamin Injection,Cyanocobalamin (Vitamin B-12),Multiple Manufacturers,Anemia,Part B,"$1,039,890.46","658,528","3,050,927","$267,447.16",$1.58,$0.34,$0.41,"2,925,989",n/a,n/a,n/a,n/a,n/a,n/a
2011,Cyanocobalamin Injection,Cyanocobalamin (Vitamin B-12),Multiple Manufacturers,,Part B,"$1,084,689.44","641,776","2,771,896","$274,701.47",$1.69,$0.39,$0.43,"2,746,049",n/a,n/a,n/a,n/a,n/a,n/a
2012,Cyanocobalamin Injection,Cyanocobalamin (Vitamin B-12),Multiple Manufacturers,,Part B,"$1,563,550.50","665,385","2,859,409","$422,964.92",$2.35,$0.55,$0.64,"2,834,337",n/a,n/a,n/a,n/a,n/a,n/a
2013,Cyanocobalamin Injection,Cyanocobalamin (Vitamin B-12),Multiple Manufacturers,,Part B,"$3,042,836.26","637,994","2,624,647","$722,922.00",$4.77,$1.16,$1.13,"2,608,082",n/a,n/a,n/a,n/a,n/a,n/a
2014,Cyanocobalamin Injection,Cyanocobalamin (Vitamin B-12),Multiple Manufacturers,,Part B,"$4,822,427.48","583,190","2,334,618","$1,286,268.93",$8.27,$2.07,$2.21,"2,322,568",n/a,n/a,n/a,n/a,n/a,n/a
2010,Cyclophosphamide,Cyclophosphamide,Baxter Healthca,Chemotherapy,Part B,"$1,352,432.82","8,873","276,366","$275,398.22",$152.42,$4.89,$31.04,"32,668",n/a,n/a,n/a,n/a,n/a,n/a
2011,Cyclophosphamide,Cyclophosphamide,Baxter Healthca,,Part B,"$11,239,015.70","24,880","1,176,462","$2,269,314.30",$451.73,$9.55,$91.21,"104,111",n/a,n/a,n/a,n/a,n/a,n/a
2012,Cyclophosphamide,Cyclophosphamide,Baxter Healthca,,Part B,"$32,839,100.90","37,997","1,806,669","$6,544,882.22",$864.26,$18.18,$172.25,"149,092",n/a,n/a,n/a,n/a,n/a,n/a
